race_id,driver_id,position,time_ms,lap
14,5,7,109304,61
14,6,9,111701,61
14,8,10,111914,61
14,9,8,111565,61
14,10,2,113439,61
14,15,12,114845,61
14,16,18,163723,23
14,17,14,138684,45
14,18,5,111608,61
14,20,4,110550,61
14,21,13,112078,61
14,22,6,109918,61
14,24,14,114299,61
14,67,16,119561,47
14,153,15,143651,47
14,154,20,133459,3
15,1,3,94803,53
15,2,6,94435,53
15,3,5,94633,53
15,4,10,94946,53
15,5,11,95105,53
15,6,15,95094,53
15,8,4,94616,53
15,9,9,94606,53
15,15,2,95324,53
15,16,13,94852,53
15,17,17,94215,51
15,18,8,94613,53
15,20,1,93941,53
15,21,12,94783,53
15,22,7,94632,53
15,24,14,94904,53
15,67,18,114292,11
15,153,9,96222,43
15,154,16,95897,52
16,1,3,74997,71
16,2,17,93446,21
16,3,16,98963,27
16,5,12,100044,71
16,6,14,75840,30
16,8,6,75082,71
16,9,2,75762,71
16,17,1,76302,71
16,18,5,75579,71
16,20,4,74341,71
16,21,10,76049,71
16,22,8,76811,71
16,24,11,76134,71
16,67,7,75023,71
16,153,14,75465,70
16,154,13,75770,70
16,155,9,74676,71
17,1,3,108011,20
17,2,5,101505,55
17,3,9,101662,55
17,4,14,100935,55
17,5,11,101589,55
17,6,13,101508,55
17,8,12,102142,55
17,9,10,102060,55
17,15,7,101744,55
17,16,17,103145,54
17,17,2,103513,55
17,18,3,103507,55
17,20,1,103793,55
17,21,16,101132,54
17,22,4,100514,55
17,24,15,106950,55
17,67,8,100326,55
17,153,20,128214,18
17,154,18,104800,54
17,155,6,100779,55
18,1,1,89625,58
18,2,2,89430,58
18,3,3,89886,58
18,4,4,88603,58
18,5,5,89236,58
18,6,7,91262,57
18,7,4,89899,55
18,8,7,94488,53
18,9,6,156148,47
18,10,10,90406,43
18,11,11,95508,32
18,12,13,155480,30
18,13,7,146437,29
18,14,10,90749,25
18,15,5,89420,19
18,16,13,92021,8
18,22,6,90558,58
19,1,5,96871,56
19,2,6,96254,56
19,3,14,96782,55
19,4,8,98213,56
19,5,3,97323,56
19,6,17,99318,54
19,8,1,99982,56
19,9,2,97323,56
19,10,21,170790,1
19,11,16,98851,54
19,12,11,97660,56
19,13,2,96382,30
19,14,9,96333,56
19,15,4,96756,56
19,16,14,101437,5
19,17,7,97396,56
19,18,10,95715,56
19,19,15,98171,55
19,20,12,97064,39
19,21,12,97739,55
19,22,13,96693,55
20,1,13,96060,56
20,2,4,93961,57
20,3,8,94072,57
20,4,10,95730,57
20,5,5,94738,57
20,6,14,95710,56
20,7,15,97363,56
20,8,2,94431,57
20,9,3,93778,57
20,10,9,95301,57
20,11,17,95891,56
20,12,19,106640,40
20,13,1,95790,57
20,14,18,96256,56
20,15,6,97056,57
20,16,19,95442,55
20,17,7,96283,57
20,18,21,139776,19
20,19,16,95694,56
20,21,12,95057,56
20,22,11,95570,57
21,1,3,83068,66
21,2,9,83453,66
21,3,7,83945,41
21,4,5,83267,34
21,5,3,82614,21
21,6,7,84054,66
21,7,18,87449,4
21,8,1,83625,66
21,9,4,82805,66
21,10,11,83214,65
21,11,13,88470,65
21,12,17,85444,6
21,13,2,83338,66
21,14,12,85081,65
21,15,8,83673,66
21,17,5,83775,66
21,18,6,82353,66
21,19,18,91826,8
21,21,10,85170,65
21,22,15,90116,34
22,1,2,87708,58
22,2,5,87832,58
22,3,8,87944,58
22,4,6,90295,58
22,5,12,87646,57
22,6,19,151878,1
22,7,17,129311,24
22,8,3,87452,58
22,9,4,87942,58
22,10,13,88554,57
22,12,15,88142,57
22,13,1,89125,58
22,14,9,88178,58
22,15,10,88053,58
22,16,16,89223,57
22,17,7,88597,58
22,18,11,87998,57
22,20,17,89137,57
22,22,14,88109,57
23,1,1,80219,76
23,2,14,80251,72
23,3,10,81425,59
23,4,10,81430,75
23,5,8,79830,76
23,6,7,79987,76
23,7,12,101150,7
23,8,9,79416,76
23,9,2,79519,76
23,10,12,79618,75
23,12,15,100217,47
23,13,3,77886,76
23,14,10,102112,7
23,15,13,79830,75
23,16,4,124018,67
23,17,4,81177,76
23,18,11,80862,75
23,20,5,81181,76
23,21,15,93354,36
23,22,6,80867,76
24,1,12,149164,19
24,2,2,81589,70
24,3,10,79186,70
24,4,3,80716,44
24,5,9,80115,70
24,6,8,81112,46
24,7,13,85011,69
24,8,10,145177,19
24,9,1,80283,70
24,10,4,80400,70
24,12,14,85230,39
24,13,5,80902,70
24,14,3,80086,70
24,15,6,83295,70
24,16,16,81750,13
24,17,12,81202,70
24,18,11,80820,70
24,20,8,80103,70
24,21,14,80671,51
24,22,7,80107,70
25,1,10,79250,70
25,2,13,77915,70
25,3,16,79061,69
25,4,8,78968,70
25,5,4,77760,70
25,6,15,79293,69
25,7,17,78968,69
25,8,2,83036,70
25,9,5,78274,70
25,10,11,78268,70
25,12,7,77929,70
25,13,1,83070,70
25,14,9,77954,70
25,15,3,77929,70
25,16,19,79179,69
25,17,6,78718,70
25,18,20,88758,16
25,20,12,78163,70
25,21,18,80221,69
25,22,14,79442,69
26,1,1,98123,60
26,2,2,99378,60
26,3,9,96584,59
26,4,6,97128,59
26,5,5,96620,59
26,6,8,98550,59
26,7,11,96471,59
26,8,4,97083,59
26,9,7,137188,39
26,10,12,98905,59
26,12,4,102176,35
26,13,13,98606,58
26,15,7,96886,59
26,16,13,99131,10
26,17,10,96872,59
26,18,10,97423,38
26,21,14,105149,26
26,22,3,100748,60
27,1,1,76895,67
27,2,4,77389,67
27,3,10,78253,67
27,4,11,78324,67
27,5,5,77750,67
27,6,14,78509,67
27,7,12,78041,67
27,8,6,76418,67
27,9,7,77557,67
27,10,9,80179,35
27,12,2,77315,67
27,13,3,77535,67
27,14,13,78002,67
27,15,9,78753,67
27,16,15,78322,67
27,17,10,126711,40
27,18,17,77922,66
27,20,8,79236,67
27,21,16,103208,67
27,22,18,115076,50
28,1,5,82905,70
28,2,10,83093,70
28,3,14,83678,69
28,4,4,83441,70
28,5,1,83647,70
28,6,13,83755,69
28,7,18,101068,67
28,8,3,86670,70
28,9,8,81941,70
28,10,2,87171,70
28,12,6,82981,70
28,13,1,83938,67
28,14,11,82844,70
28,15,7,84300,70
28,16,19,98216,62
28,17,9,83758,70
28,18,12,86379,69
28,20,20,94252,22
28,21,15,82666,69
28,22,16,88312,68
29,1,2,99575,57
29,2,9,99526,57
29,3,8,101542,57
29,5,4,99738,57
29,6,15,99803,56
29,7,10,101331,57
29,8,6,102500,45
29,9,3,100171,57
29,10,7,103144,57
29,12,11,101040,57
29,13,1,101417,57
29,14,17,102287,56
29,15,5,101159,57
29,16,16,101030,41
29,17,12,102912,56
29,18,13,101924,56
29,20,6,100596,57
29,21,14,100625,56
29,22,16,100593,56
30,1,3,181187,44
30,2,2,121305,44
30,3,12,151421,43
30,4,4,142270,44
30,5,7,134143,43
30,6,14,156982,43
30,7,7,140376,44
30,8,1,114142,42
30,9,6,136377,44
30,10,9,144401,44
30,12,10,111231,13
30,13,1,165209,44
30,14,11,148241,43
30,15,16,144837,43
30,16,13,137065,43
30,17,8,133210,44
30,18,15,140344,43
30,20,5,137489,44
30,21,17,125030,43
30,22,17,117980,19
31,1,7,89846,53
31,2,5,89807,53
31,3,14,90019,53
31,4,4,90995,53
31,5,2,90300,53
31,6,12,90215,53
31,7,18,89258,52
31,8,9,88047,53
31,9,3,90655,53
31,10,11,89948,53
31,12,10,90918,53
31,13,6,89717,53
31,14,16,93300,52
31,15,13,91172,53
31,16,19,93458,51
31,17,8,89762,53
31,18,15,90096,53
31,20,1,90510,53
31,21,13,98501,11
31,22,17,94428,52
32,1,3,108731,61
32,2,6,107855,61
32,3,2,107688,61
32,4,1,109931,61
32,5,10,111291,61
32,6,8,108221,61
32,7,12,111104,61
32,8,5,107648,57
32,9,11,110634,61
32,10,4,109615,61
32,12,16,110449,13
32,13,13,115415,61
32,14,7,108715,61
32,15,16,185452,50
32,16,16,110904,49
32,17,18,146606,29
32,18,9,108128,61
32,20,5,107964,61
32,21,14,112066,61
32,22,16,113955,14
33,1,12,80669,67
33,2,9,79461,67
33,3,11,79621,67
33,4,1,82506,67
33,5,3,79270,16
33,6,15,82347,66
33,7,10,104912,67
33,8,3,79178,67
33,9,2,79540,67
33,10,19,129693,6
33,12,4,81340,67
33,13,7,79321,67
33,15,5,79750,67
33,16,10,81750,8
33,17,8,80376,67
33,18,14,80849,66
33,20,6,79972,67
33,21,13,90643,21
33,22,13,80575,66
34,1,1,98774,56
34,2,5,96498,56
34,3,15,98865,55
34,4,4,96659,56
34,5,15,103616,49
34,6,12,98295,56
34,7,13,98323,56
34,8,3,98129,56
34,9,6,96854,56
34,10,7,96727,56
34,12,8,96996,56
34,13,2,98798,56
34,14,10,98338,56
34,15,20,159612,2
34,16,17,99683,13
34,17,14,98107,56
34,18,16,97982,55
34,20,9,97277,56
34,21,17,98944,55
34,22,11,97845,56
35,1,5,86126,71
35,2,10,85477,70
35,3,12,89725,70
35,4,2,86108,71
35,5,7,84945,71
35,6,17,89956,69
35,7,14,90054,70
35,8,3,88271,71
35,9,11,86745,70
35,10,6,104731,71
35,13,1,87721,71
35,15,8,104800,71
35,16,16,93840,69
35,17,9,85042,71
35,18,13,92233,70
35,20,4,85984,71
35,21,18,92470,69
35,22,15,82981,70
36,1,3,89002,58
36,2,4,88785,58
36,3,7,89695,57
36,4,2,89025,58
36,5,10,89589,57
36,8,1,90766,58
36,9,4,87116,36
36,11,12,90627,57
36,13,6,88154,58
36,14,14,93872,48
36,15,9,89428,57
36,16,17,88849,56
36,17,13,89990,57
36,18,15,88939,57
36,19,16,89641,56
36,21,5,88327,58
36,22,11,89865,57
36,23,8,90736,57
36,24,14,89453,57
36,25,13,89818,48
36,26,19,93097,28
36,27,20,91115,10
37,1,2,97953,56
37,2,4,98613,56
37,3,7,98641,42
37,4,1,101568,56
37,5,8,98504,56
37,8,3,97852,56
37,9,18,99815,55
37,11,13,99671,55
37,13,5,99328,56
37,14,11,103332,36
37,15,7,98791,56
37,17,10,99281,56
37,18,12,98787,55
37,19,16,99907,55
37,21,6,99566,56
37,22,11,99201,55
37,23,15,100274,55
37,24,17,100183,55
37,25,9,98734,56
37,26,14,100092,55
37,27,21,136192,7
38,1,2,94354,57
38,2,4,95600,57
38,3,10,95902,57
38,4,5,95518,57
38,5,9,96032,57
38,8,3,96809,57
38,9,6,95427,57
38,11,16,97808,34
38,13,1,95485,57
38,14,16,154422,36
38,15,7,96154,57
38,16,15,99201,53
38,17,10,96192,41
38,19,12,96337,51
38,21,8,96034,57
38,22,13,96517,56
38,23,12,96366,56
38,24,19,106037,26
38,25,11,97657,56
38,27,14,99380,55
39,1,2,84300,65
39,2,12,113894,46
39,3,6,84172,65
39,4,3,83653,65
39,5,7,83962,65
39,8,18,136639,9
39,9,4,84591,65
39,11,8,84674,64
39,13,1,85167,65
39,14,5,84462,65
39,15,19,94012,8
39,16,13,85207,63
39,17,20,99936,7
39,18,12,84186,64
39,19,11,84611,64
39,21,9,85022,64
39,22,10,85701,64
39,23,13,108390,44
39,24,17,138802,19
39,25,22,136740,1
39,26,13,87231,9
39,27,14,85399,63
40,1,2,78313,78
40,2,6,78230,77
40,3,12,77587,77
40,4,1,77060,78
40,5,13,78676,76
40,8,8,81367,77
40,9,5,79646,77
40,11,17,79518,76
40,13,3,84100,78
40,14,14,77257,76
40,15,15,81358,76
40,16,18,78765,53
40,17,8,78998,17
40,18,11,77024,77
40,19,18,78522,76
40,21,4,78680,77
40,22,10,77160,77
40,23,16,80666,76
40,24,13,95137,1
40,25,7,77853,77
40,26,9,77939,77
40,27,19,77689,70
41,1,1,81926,70
41,2,2,79464,70
41,3,10,80441,70
41,4,7,81054,70
41,5,4,78708,70
41,8,5,80566,70
41,9,15,110826,26
41,11,6,78776,70
41,13,4,90858,51
41,14,15,81797,36
41,15,12,148148,58
41,16,19,79570,21
41,17,9,81081,70
41,19,11,80235,70
41,21,7,83165,51
41,22,12,80218,70
41,23,8,81225,70
41,24,5,115953,54
41,25,3,78999,70
41,26,16,80532,8
41,27,11,79737,47
42,1,1,74746,73
42,2,7,75347,55
42,3,6,75245,68
42,4,2,74085,73
42,5,5,75014,73
42,8,4,76056,73
42,11,14,77759,13
42,13,3,74279,73
42,15,6,75093,73
42,16,14,75451,71
42,17,7,74959,73
42,18,12,75279,72
42,19,11,74532,72
42,20,8,74534,73
42,21,9,74581,72
42,24,15,75827,68
42,25,10,75180,72
42,26,13,75507,71
42,27,15,76217,70
43,1,3,78671,70
43,2,5,76875,70
43,3,9,77861,70
43,4,7,78275,70
43,5,15,77206,69
43,8,1,78188,70
43,9,4,78000,70
43,11,16,78383,68
43,13,2,78444,70
43,14,13,77477,69
43,15,21,139632,1
43,16,17,78191,68
43,17,12,77249,69
43,18,8,76770,70
43,19,19,104767,1
43,21,6,76703,70
43,22,11,77352,69
43,23,10,77192,69
43,25,14,77240,69
43,26,15,78249,55
43,27,17,80793,28
44,1,3,83532,59
44,2,6,82508,59
44,3,12,83366,58
44,4,2,82205,59
44,5,7,83868,58
44,8,1,85584,59
44,9,4,82803,59
44,11,14,84117,57
44,13,5,83193,59
44,14,11,83773,58
44,15,16,92836,43
44,16,18,85015,16
44,17,22,131696,8
44,18,10,83686,58
44,19,18,91191,35
44,21,8,83017,58
44,22,9,84106,58
44,23,18,109057,22
44,24,14,83679,53
44,25,13,83062,58
44,26,14,85957,29
44,27,15,84938,57
45,1,9,103685,59
45,2,6,103032,60
45,3,18,170950,2
45,4,1,103836,60
45,5,8,103999,59
45,8,3,96382,34
45,9,7,104989,60
45,11,12,97571,19
45,13,2,104060,60
45,14,5,103446,60
45,15,13,105557,59
45,16,13,145798,2
45,17,3,106903,60
45,18,5,140041,2
45,19,12,111488,59
45,21,10,105065,59
45,22,11,104841,59
45,23,9,96195,18
45,24,22,202300,2
45,25,4,105518,60
45,26,19,181900,2
45,28,15,102783,13
46,1,1,81164,70
46,2,3,81915,70
46,3,7,81969,70
46,4,4,83093,70
46,5,8,82022,70
46,8,2,80047,70
46,9,5,81474,70
46,11,15,82035,69
46,13,13,82364,69
46,14,11,81696,69
46,15,10,81329,69
46,16,17,82419,68
46,17,9,81331,70
46,18,20,85556,35
46,19,15,82400,41
46,20,16,82684,69
46,21,12,82373,69
46,22,18,82906,68
46,23,6,81254,70
46,24,17,92101,42
46,25,14,82363,69
46,29,22,86741,4
47,1,5,89458,58
47,2,4,89978,58
47,3,7,89252,58
47,4,3,91570,58
47,5,6,88923,58
47,8,2,88701,58
47,9,8,89049,58
47,11,18,90577,57
47,13,1,91851,58
47,14,10,89472,58
47,15,16,89869,57
47,16,21,108502,53
47,17,18,110595,9
47,18,13,89296,57
47,19,14,90019,57
47,20,19,90331,57
47,21,9,89142,58
47,22,17,89779,57
47,23,12,90740,57
47,24,15,89864,57
47,25,11,93715,58
47,29,20,93848,56
48,1,2,84336,53
48,2,4,86168,53
48,3,6,84914,53
48,4,1,86175,53
48,5,7,84226,53
48,8,3,87715,53
48,9,5,84368,53
48,11,16,84850,52
48,13,21,140934,10
48,14,15,96129,1
48,15,11,84895,53
48,16,19,85905,52
48,17,9,84987,53
48,18,8,85811,53
48,19,14,85506,52
48,20,18,86132,52
48,21,12,85145,52
48,22,10,85140,53
48,23,15,85032,52
48,24,17,85597,52
48,25,13,86813,52
48,29,20,85878,52
49,1,4,109851,44
49,2,5,109675,44
49,3,6,112425,44
49,4,3,108182,44
49,5,8,109963,44
49,8,1,111787,44
49,9,9,109888,44
49,11,15,111011,43
49,13,2,114992,44
49,14,12,112139,29
49,15,11,109288,44
49,16,14,110987,43
49,17,7,111398,44
49,18,16,139443,36
49,19,16,111391,43
49,20,21,144364,8
49,21,22,157259,1
49,22,13,110678,43
49,23,10,110041,44
49,24,12,111981,43
49,25,19,120775,34
49,29,17,112381,43
50,1,1,96794,67
50,2,8,107025,65
50,3,17,146211,49
50,4,5,92024,41
50,5,2,92691,67
50,8,3,92885,67
50,9,7,95866,67
50,11,15,96198,65
50,13,6,94635,67
50,14,4,94045,67
50,15,13,94773,66
50,16,8,94488,67
50,17,2,136080,45
50,18,10,96468,66
50,19,15,94027,54
50,20,11,156477,46
50,21,5,98074,67
50,22,10,96138,67
50,23,16,121220,55
50,24,9,118168,67
50,25,18,125636,19
50,29,12,106335,66
51,1,2,116885,30
51,2,7,99556,56
51,3,16,99233,54
51,4,2,101036,56
51,5,9,100333,56
51,8,1,101397,56
51,9,1,103369,33
51,11,14,100227,55
51,13,3,97454,56
51,14,8,100438,56
51,15,13,99911,55
51,16,20,114186,24
51,17,10,100557,56
51,18,5,99938,56
51,19,20,121298,11
51,20,4,102575,56
51,21,11,100090,56
51,22,15,100516,55
51,23,19,104062,25
51,24,6,99723,56
51,25,12,99978,55
51,29,17,103200,53
52,1,7,73621,70
52,2,6,75687,71
