race_id,driver_id,count
888,823,59
7,6,58
91,30,56
111,22,62
169,49,77
955,807,51
166,35,72
182,23,60
208,57,72
941,833,52
94,22,66
1012,1,56
1019,154,9
30,2,44
868,1,52
979,838,69
214,65,71
1073,20,58
114,43,77
997,8,71
917,16,70
65,27,67
1038,154,53
39,18,64
337,20,49
1032,830,71
1032,846,71
73,11,27
1011,841,57
995,20,68
1084,854,70
144,21,31
1032,841,70
168,57,45
73,17,57
231,79,6
29,17,56
351,10,49
76,23,78
232,77,72
191,44,57
1081,815,51
982,839,58
115,44,69
152,59,44
867,819,57
1061,815,51
125,2,55
60,26,1
347,22,66
971,807,57
29,20,57
168,22,45
62,11,6
207,79,32
350,16,52
1026,848,52
224,30,32
1067,20,57
1092,849,28
1052,817,56
83,35,56
35,2,70
988,1,55
99,15,70
882,821,4
952,837,65
853,18,53
1086,832,70
1063,849,1
82,21,67
108,49,58
165,37,48
862,818,56
1007,807,69
151,4,57
847,2,55
891,4,44
996,844,53
1079,844,27
214,35,72
174,41,46
1061,854,51
1025,848,53
1062,849,70
76,24,59
857,153,59
976,1,51
948,20,57
188,70,10
338,5,56
1009,815,55
982,807,48
172,25,72
109,15,55
351,20,61
1077,842,62
906,155,23
237,56,23
1053,846,63
149,37,66
353,155,55
59,22,78
915,828,51
351,1,35
10,10,70
89,31,24
873,13,59
167,63,70
886,20,70
181,22,72
1040,815,53
878,817,56
960,821,44
160,57,62
181,69,71
338,811,4
60,11,57
998,20,52
977,839,70
94,14,65
7,9,58
110,18,32
871,10,43
163,57,67
907,154,70
1067,847,57
199,14,37
1037,849,44
63,37,70
110,2,8
150,18,68
21,2,66
885,820,78
233,56,5
971,1,57
883,807,57
201,64,2
928,154,56
1054,822,66
174,21,55
996,843,52
877,1,19
19,4,56
1003,832,60
4,3,57
200,25,70
113,30,69
937,833,42
905,13,77
990,828,56
157,4,52
345,37,57
133,8,44
879,8,70
938,831,52
30,14,43
1076,849,57
56,33,60
16,6,30
129,56,38
354,18,71
989,830,58
985,1,56
69,14,35
104,31,53
934,828,51
1000,20,70
930,833,62
185,25,77
868,819,51
14,4,61
913,822,60
101,18,66
182,25,60
197,56,69
941,4,53
1006,838,55
175,48,25
958,826,69
1,4,58
114,21,77
212,50,63
70,15,10
1062,817,69
122,30,73
931,3,78
2,8,31
338,30,58
989,828,5
220,22,64
96,4,60
873,815,59
103,42,31
123,23,52
102,42,69
190,15,3
197,44,39
878,3,56
182,64,60
894,822,55
113,2,46
155,61,52
98,14,72
953,13,77
85,21,53
131,8,70
22,15,58
100,8,60
127,35,61
158,22,58
95,4,41
48,15,53
915,20,53
190,49,53
3,1,56
354,153,70
71,35,56
218,58,18
38,19,51
909,828,65
58,21,66
851,5,55
977,835,70
353,2,55
867,37,56
44,22,58
136,19,58
48,25,52
848,24,54
162,18,61
966,821,70
66,3,25
981,807,52
977,825,29
109,30,55
195,57,65
13,3,51
346,13,52
230,63,16
974,839,78
940,8,53
162,65,64
116,42,59
864,8,66
1030,842,53
1067,4,57
43,8,70
68,11,55
950,822,56
46,25,69
201,57,45
138,23,4
957,20,52
982,822,58
174,18,18
843,1,56
14,17,45
141,15,38
851,22,68
858,808,54
914,155,43
14,9,61
355,5,54
948,807,57
1053,854,61
71,14,57
50,25,19
1015,844,16
866,8,70
207,50,2
887,818,35
854,811,59
927,831,55
890,20,70
985,838,55
1062,830,70
897,3,55
987,830,71
954,8,70
855,813,53
1034,842,52
953,822,77
189,64,44
901,154,55
892,16,52
236,22,29
107,21,71
914,821,43
172,35,73
179,22,64
900,815,57
121,51,2
1010,807,57
238,56,70
997,20,71
93,22,62
215,75,57
872,3,53
7,20,58
206,57,51
174,25,56
939,826,61
1010,844,58
1005,840,52
854,815,60
33,17,67
113,52,68
975,835,69
896,3,60
194,35,62
139,30,73
874,8,53
208,44,72
75,14,65
194,15,34
130,44,51
859,16,70
206,63,14
206,50,21
190,48,31
918,821,54
1037,840,44
141,23,4
176,72,31
213,65,54
104,4,40
1081,846,51
238,83,65
1064,844,71
47,17,9
860,5,38
1070,853,68
968,1,55
4,17,57
975,154,69
82,39,64
1042,832,65
957,837,24
910,4,70
84,39,55
99,44,68
966,822,71
1053,832,63
928,1,56
163,60,65
205,64,6
847,16,49
988,830,55
203,55,44
1069,8,55
174,23,43
116,17,59
841,3,22
112,51,63
78,15,62
931,831,78
184,21,7
69,21,53
1051,817,56
118,35,60
866,4,70
994,830,78
877,155,55
1061,844,52
901,825,55
850,13,60
57,2,59
1020,832,64
997,843,54
200,74,30
230,71,10
910,818,70
91,8,40
16,9,71
182,35,29
1069,832,56
1051,830,57
858,816,18
848,67,56
193,23,22
1030,840,45
203,64,44
859,817,68
851,153,69
17,9,55
109,8,56
843,22,56
981,4,50
1006,839,56
218,79,42
233,65,60
40,8,77
190,71,21
123,51,52
896,823,1
986,838,70
994,1,78
146,14,71
338,9,58
892,820,52
999,825,67
851,18,70
199,64,45
1039,841,5
74,39,61
115,49,6
883,8,57
80,40,33
926,828,57
873,1,22
842,3,55
234,84,44
49,18,36
955,826,6
1056,4,77
932,826,69
999,832,67
353,30,55
1006,825,56
2,4,31
48,2,53
992,822,48
872,818,8
32,13,61
85,14,52
337,13,49
196,64,77
68,33,37
129,62,42
854,813,60
942,1,56
186,70,44
877,814,55
940,807,53
865,807,78
141,2,58
22,13,58
860,10,57
85,35,52
164,60,22
90,4,58
60,33,58
1033,8,69
131,31,56
188,48,66
227,73,65
4,2,56
916,154,55
214,82,40
29,14,56
1017,840,52
855,20,53
1054,20,65
845,22,64
133,30,60
1060,832,71
99,32,69
1009,20,55
8,6,60
149,22,67
970,815,55
39,4,65
126,21,6
59,17,48
239,79,37
137,2,43
58,35,65
1057,852,51
851,1,70
1023,840,52
979,4,70
49,21,1
896,4,60
203,56,25
162,14,65
105,32,11
844,16,57
99,13,69
209,35,72
176,44,71
856,20,55
208,49,72
853,67,52
166,30,58
99,18,70
21,22,34
91,4,56
128,49,65
1078,825,56
151,54,6
916,1,56
230,50,47
1037,20,44
43,25,69
340,16,56
31,3,53
210,21,62
164,50,60
909,807,67
888,822,59
177,64,49
1028,844,56
900,813,29
158,21,58
144,60,28
184,25,45
915,8,53
943,813,71
225,35,26
870,817,68
107,32,69
973,825,64
353,807,55
189,14,14
843,15,55
213,44,51
994,8,78
992,832,51
859,814,70
1016,815,69
167,60,68
193,74,63
29,6,56
970,839,55
154,15,36
225,77,26
168,37,45
1071,842,70
56,32,40
881,821,55
64,13,67
1012,20,56
951,821,52
1039,1,59
221,44,67
1035,8,51
1006,8,56
1055,849,65
148,58,66
970,822,56
41,5,70
206,14,51
1065,839,53
337,22,49
350,30,53
25,2,70
174,22,56
116,43,53
94,32,43
36,16,56
902,813,57
964,18,52
1074,847,57
858,814,55
133,37,58
928,832,55
851,815,68
82,17,55
926,3,58
129,13,7
164,15,36
857,811,59
214,25,60
235,64,1
891,3,44
903,828,54
980,807,44
95,13,76
28,5,70
168,23,45
979,836,68
351,24,1
191,74,22
232,69,29
873,807,59
952,154,56
74,4,62
908,18,52
28,6,69
1013,807,50
853,5,51
346,29,50
1041,841,60
1007,828,69
144,59,60
1060,20,69
213,55,54
127,14,61
861,819,54
347,20,67
110,8,54
843,4,56
871,30,44
39,25,1
347,153,66
86,4,44
45,5,59
950,8,56
936,3,69
62,3,72
876,815,20
33,9,67
224,50,15
926,815,57
1034,154,52
1083,852,52
1089,815,53
116,35,51
871,13,44
72,14,56
1016,154,69
42,3,68
215,57,52
869,814,67
237,64,52
4,21,56
352,5,52
1016,832,69
1092,817,28
842,813,8
1087,817,44
92,45,55
909,826,44
41,25,70
871,813,4
892,815,53
954,837,68
120,18,69
1082,840,70
55,21,57
917,815,70
1031,825,24
1033,822,70
226,57,19
905,825,77
223,64,11
228,30,63
1072,844,50
1086,830,70
33,3,67
50,9,67
58,14,65
139,18,72
931,828,78
878,5,55
223,23,44
85,15,53
192,74,44
1003,4,61
198,55,70
169,57,77
239,73,50
125,8,24
867,1,55
971,836,56
227,64,66
56,14,47
111,50,38
37,22,55
944,3,71
178,69,10
65,11,65
187,35,53
36,19,56
1054,842,66
888,815,60
905,822,55
11,154,57
841,10,49
225,65,28
1004,842,4
986,807,24
2,16,30
995,828,66
100,13,60
1028,846,56
9,8,34
1010,8,57
25,21,69
185,35,60
1082,844,70
344,18,70
2,13,31
120,51,42
229,14,75
916,18,55
77,35,58
342,155,26
874,20,53
989,845,4
1075,840,49
178,57,78
74,25,62
215,71,59
1058,817,70
157,14,53
894,3,55
969,8,57
351,4,61
888,17,60
852,4,44
96,13,59
106,13,53
121,47,51
132,59,59
33,4,67
39,16,63
991,4,56
1003,840,60
929,4,56
8,4,59
94,2,33
223,44,69
337,10,16
78,33,67
216,77,45
101,22,66
142,57,55
915,154,52
986,817,5
992,825,51
59,30,78
1076,854,57
173,65,52
857,17,60
10,5,70
1010,9,55
340,810,8
104,45,33
1019,842,52
916,20,56
977,8,71
107,15,70
1087,822,1
1075,846,50
937,822,43
993,839,38
354,13,70
137,23,44
943,832,71
914,828,43
941,813,53
145,30,65
1006,4,1
98,23,9
132,13,59
913,824,60
56,35,62
869,18,67
1081,848,50
951,13,53
943,807,71
982,154,58
1088,817,72
63,27,68
172,14,73
1059,4,53
1054,8,1
1012,830,56
93,13,61
45,9,60
89,15,55
862,813,56
999,838,67
944,822,70
31,18,53
58,3,65
223,79,68
916,818,56
130,23,78
116,15,37
1091,830,59
975,20,70
937,831,43
220,79,69
1005,8,53
1025,807,53
82,11,66
987,807,70
83,4,69
237,49,7
163,65,61
868,17,52
71,11,55
990,815,56
852,15,43
179,49,35
1064,842,71
147,31,2
877,815,55
104,8,13
49,25,34
1077,854,62
916,815,1
873,811,57
1052,4,32
180,41,2
173,64,52
1007,845,69
231,84,68
1023,9,51
81,31,60
898,3,56
1009,822,55
930,822,66
99,31,70
145,57,64
899,154,2
145,18,62
848,814,56
1042,826,64
43,2,70
888,807,60
156,62,38
137,37,37
960,1,44
1085,830,53
213,75,54
1063,854,1
31,6,53
28,20,22
26,3,59
1028,847,54
929,807,56
67,22,53
1065,830,25
179,56,65
883,821,56
1079,848,64
1062,854,69
1013,841,50
125,49,54
348,811,67
10,15,70
1,10,58
963,831,46
344,37,30
105,31,56
1041,832,60
1023,842,52
995,825,67
1001,8,8
967,13,46
1026,817,51
998,828,31
1024,1,61
119,2,65
901,822,56
344,5,68
164,63,78
160,60,60
173,15,52
142,2,3
1051,815,57
50,16,67
958,835,69
157,22,53
339,810,53
117,30,70
57,35,60
89,39,28
228,21,30
88,33,52
995,839,67
1039,20,59
65,24,25
143,22,2
982,817,58
73,14,56
1030,20,55
24,20,70
194,65,12
194,63,60
1069,842,14
1000,815,69
902,807,57
975,828,69
100,22,60
146,31,41
1047,20,54
860,815,58
1057,853,51
137,11,43
886,815,69
179,44,24
236,30,44
909,3,67
43,3,70
206,68,28
22,12,57
141,50,57
868,811,52
880,823,56
914,18,44
63,18,61
225,73,24
88,35,53
181,55,24
191,49,57
347,1,67
52,4,71
60,35,60
864,13,65
1006,844,31
1076,842,58
45,2,60
25,15,70
888,4,60
199,50,38
116,44,37
1022,825,43
1006,828,55
960,835,44
55,11,55
130,14,78
1026,842,51
139,37,27
27,17,40
979,814,60
1002,1,53
102,30,70
852,18,44
337,37,28
1057,817,51
205,71,66
58,26,47
124,15,8
77,39,58
884,815,66
208,79,67
193,35,52
943,834,69
1080,825,19
20,11,56
884,821,65
862,811,56
858,18,55
1045,826,56
968,822,6
1035,840,52
195,23,63
48,21,52
128,23,63
238,77,70
121,49,50
228,49,32
55,8,57
1001,842,44
130,49,77
1078,20,54
1075,848,47
145,37,5
930,8,66
20,4,57
1019,8,52
155,37,53
198,22,69
1065,847,53
29,8,45
139,66,71
867,13,56
863,817,56
99,22,70
930,828,65
1057,840,29
31,12,53
866,18,69
1003,838,60
913,16,40
953,817,78
1060,815,71
80,33,67
100,48,60
990,825,57
981,13,53
7,21,4
984,154,53
1091,844,59
914,3,44
165,57,69
61,21,70
1058,832,70
37,17,56
847,20,70
214,30,72
161,48,59
849,24,50
912,825,53
9,12,60
973,1,66
1005,4,52
913,815,60
865,808,15
1089,830,53
58,2,65
941,829,51
869,1,56
78,18,46
5,18,66
197,30,69
914,13,44
950,154,55
1060,1,71
953,1,78
982,836,56
199,56,60
948,825,57
843,30,56
927,13,56
135,21,59
77,4,59
76,40,29
1061,847,51
975,822,70
3,4,56
864,154,66
949,18,6
963,822,56
845,30,65
886,814,69
887,13,52
217,22,29
193,21,72
64,22,18
218,35,44
117,8,70
992,1,51
100,44,16
891,18,44
856,155,54
870,5,68
228,65,25
235,77,64
111,21,57
905,818,50
959,3,67
903,826,55
210,14,38
